id_pekerjaan,jenis_pekerjaan,spesifikasi_teknis,satuan,harga_satuan,cabang_itb,kategori_I,kategori_II
AD-060,Pasang Keramik lantai 30x30cm dengan spesi konvensional,"Pasang Keramik lantai baru menggunakan keramik 30x30cm Roman Kw1, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,232900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-061,Pasang keramik 20x20 cm dengan spesi semen instan,"Pasang Keramik dinding/lantai baru menggunakan keramik 20x20 cm Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat, atau pemasangan tile on tile",m2,320100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-062,Pasang List keramik/Plint 60x10,"Pasang Keramik plint menggunakan keramik 10x60 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat.",m1,38900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-063,Pasang List keramik/Plint 40x10,"Pasang Keramik plint menggunakan keramik 10x40 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat.",m1,32600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-064,Pasang List keramik/Plint 30x10,"Pasang Keramik plint menggunakan keramik 10x30 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat.",m1,29400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-065,Pasang List keramik/Plint 20x10,"Pasang Keramik plint menggunakan keramik 10x20 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat.",m1,27800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-066,Pasang keramik dinding 30x60 dengan spesi semen instan,"Pasang Keramik dinding baru menggunakan keramik 30x60 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat, atau pemasangan tile on tile",m2,345500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-067,Pasang keramik dinding 30x60 dengan spesi konvensional,"Pasang Keramik dinding baru menggunakan keramik 30x60 Roman Kw1, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,288300,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-068,Pasang keramik dinding 20x60 dengan spesi semen instan,"Pasang Keramik dinding baru menggunakan keramik 20x60 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat, atau pemasangan tile on tile",m2,345500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-069,Pasang keramik dinding 20x60 dengan spesi konvensional,"Pasang Keramik dinding baru menggunakan keramik 20x60 Roman Kw1, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,270600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-070,Pasang keramik dinding 20x40 dengan spesi semen instan,"Pasang Keramik dinding baru menggunakan keramik 20x40 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat, atau pemasangan tile on tile",m2,320500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-071,Pasang keramik dinding 20x40 dengan spesi konvensional,"Pasang Keramik dinding baru menggunakan keramik 20x40 Roman Kw1, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,215100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-072,Pasang keramik dinding 20x25 dengan spesi semen instan,"Pasang Keramik dinding baru menggunakan keramik 20x25 Roman Kw1, spesi menggunakan semen instan lemkra type Fk 101, untuk nat menggunakan lemkra fs nat, atau pemasangan tile on tile",m2,295800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-073,Pasang keramik dinding 20x25 dengan spesi konvensional,"Pasang Keramik dinding baru menggunakan keramik 20x25 Roman Kw1, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,201700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-074,Pasang Granit tile 60x60 Indogress dengan spesi semen instan,"Pasang granit ukuran 60x60cm Indogress, spesi menggunakan semen instan lemkra FK 101, pengisi nat menggunakan semen instan lemkra FS nat, atau pemasangan tile on tile",m2,396300,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-075,Pasang Granit tile 60x60 Indogress dengan spesi konvensional,"Pasang granit ukuran 60x60cm Indogress, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat",m2,392200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-076,Pasang Granit tile 60x60 Essenza dengan spesi semen instan,"Pasang granit ukuran 60x60cm Essenza, spesi menggunakan semen instan lemkra FK 101, pengisi nat menggunakan semen instan lemkra FS nat, atau pemasangan tile on tile",m2,599200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-077,Pasang Granit tile 60x60 Essenza dengan spesi konvensional,"Pasang granit ukuran 60x60cm Essenza, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat",m2,491800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-078,Pasang Granit tile 30x60 Essenza dengan spesi semen instan,"Pasang granit ukuran 30x60cm Essenza, spesi menggunakan semen instan lemkra FK 101, pengisi nat menggunakan semen instan lemkra FS nat, atau pemasangan tile on tile",m2,360900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-079,Pasang Granit tile 30x60 Essenza dengan spesi konvensional,"Pasang granit ukuran 30x60cm Essenza, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat",m2,299900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-080,Pasang Granit Step Nosing Indogress,"Pasang granit step nosing ukuran 10x30 cm Indogress, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat",m1,205700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-081,Pasang Keramik Step Nosing ,"Pasang granit step nosing ukuran 10x30 cm Roman, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat",m1,116000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-082,Pasang Karpet Lantai,"Pasang karpet lantai menggunakan Lotus, berikut dengan perekat dan aksesorisnya, tipe dan motif sesuai permintaan user.",m2,411400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-083,Pasang lantai parket gracewood,"Pasang lantai parket menggunakan gracewood berikut dengan underlayer dan perekat, termasuk finishing.",m2,874600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-084,Pasang lantai parket flooring,"Pasang lantai parket jati dengan tebal 15 mm berikut dengan underlayer dan perekat, termasuk finishing.",m2,1122700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-085,Pasang pembatas lantai parket,Pasang pembatas lantai parket menggunakan stainless steel dengan tebal 15 mm,m1,86800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-086,Leveling Lantai,"leveling lantai 3 layer ,menggunakan campuran semen + chemical, hingga permukaan lantai rata ",m2,54000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-087,Pasang vinyl,Pasang Lantai Vinyl menggunakan Amstrong berikut dengan lem khusus vinyl,m2,655200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-088,Pasang vinyl,Pasang Lantai Vinyl menggunakan Tajima type tile berikut dengan lem khusus vinyl,m2,471000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-089,Pasang cat Epoxy,Pasang lantai Epoxy menggunakan Fosroc nitrofloor 2000,m2,437300,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-090,Pasang Floorlaminate,"Pekerjaan pemasangan floorlaminate krissfloor, berikut pemasangan underlayer termasuk finishing.",m2,263400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-091,Pasang Profil tepi floorlaminate,Pasang kayu profil tepi trim krissfloor.,m',61900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-092,Pasang plint lantai Kayu,"Pasang Plint lantai menggunakan plint kayu kamper banjar lebar 10 cm tebal 1,5cm.",m1,47400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-093,Pasang Plint Lantai Megatik,Pekerjaan Pasang Plint lantai menggunakan megatik tinggi 10 cm.,m1,91700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-094,Pasang Plafond Akustik,Pasang plafond akustik menggunakan Amstong ukuran 60x120cm,lbr,38500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-095,Pasang List Plafond gypsum profil,"Pasang List plafond gypsum, ukuran sesuai dengan eksisting.",m1,27600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-096,Pasang Rangka Metal Furing,Pasang rangka plafond menggunakan metal furing sca.,m2,137100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-097,Pasang rangka plafond besi hollow,"Pasang rangka plafond menggunakan besi hollow ukuran 40x40x0,8mm dengan modul 61x61cm",m2,123700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-098,Pasang rangka plafond rangka kayu,Pasang rangka plafond menggunakan kamper banjar ukuran 5/7 cm diserut maksimal menjadi 4/6cm dengan modul maksimal 61x61cm,m2,203000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-099,Pasang rangka plafond rangka kayu,Pasang rangka plafond menggunakan kayu meranti ukuran 4x4 cm dengan modul maksimal 61x61cm,m2,203900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-100,Pasang Plafond Kalsiboard,Pasang penutup plafond menggunakan Kalsiboard dengan tebal 6mm,m2,91900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-101,Pasang Gypsumboard 6 mm ,Pasang Gypsumboard Jayaboard menggunakan ukuran 6mm berikut dempul dan tepung gypsum,m2,106600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-102,Pasang Gypsumboard 9 mm ,Pasang Gypsumboard Jayaboard menggunakan ukuran 9mm berikut dempul dan tepung gypsum,m2,113800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-103,Pasang Gypsumboard 12 mm ,Pasang Gypsumboard jayaboard ukuran 12mm berikut dempul cornice dan plasband 1 muka,m2,125600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-104,Pasang rangka plafond main tee dan cross tee untuk akustik,Pekerjaan Pasang baru rangka plafond main tee dan cross tee dengan modul 122x61cm.,m2,156800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-105,Pasang penutup plafond GRC 6mm,"Pekerjaan Pasang penutup plafond dengan GRC tebal 6 mm, nusaboard.",m2,47700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-106,Pasang Rangka atap balok 5/12,Pekerjaan pasang rangka atap menggunakan kayu kamper samarinda 5/12 tanpa finishing,m1,117800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-107,Pasang Kaso ukuran 5/7,Pekerjaan pasang rangka atap menggunakan kayu kamper samarinda 5/7 tanpa finishing,m1,90500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-108,Pasang Papan ukuran 2/20,Pekerjaan pasang papan menggunakan kayu kamper samarinda 2/20 tanpa finishing,m1,109600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-109,Pasang Lantai batu alam andesit 20 x 20 tebal 1-1.5cm,"Pasang Batu andesit uk 20x20 tebal 1-1.5cm, berikut Pasangan adukan dengan menggunakan adukan 1 pc : 5 psr Pasang difinishing dengan menggunakan acian.",m2,363800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-110,Pasang dinding MDF,"Pasang MDF tebal 9 mm 1 muka, pemasangan menggunakan skrup",m2,73200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-111,Pasang baru Rangka Ceiling metal linier ,"Material rangka plafond menggunakan stringer dan hollow 35x35x0.8mm jarak 1,2m, untuk gantungan menggunakan hollow 15x35x0.8mm dengan jarak 1,2m, termasuk alat bantu pemasangan berupa scaffolding atau steger bambu.",m2,229700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-112,Pasang plafond akustik gypsum tanpa rangka,Plafond akustik gypsum uk. 60 x 120 cm jayaboard,lbr,52600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-113,Perbaikan rangka plafond,"Rangka existing di pasang kembali, termasuk penambahan gantungan rangka",m2,68800,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-114,Memasang baru Ceiling metal linier,"Plafon bahan metal Pre painted ZINCALLUM BLUESCOPE STEEL INDONESIA PANELLUX Type 85C Zincallum ex Prometama, berikut stringer, hollow 35x35x0.8mm jarak 1,2m, untuk gantungan menggunakan hollow 15x35x0.8mm dengan jarak 1,2m, termasuk alat bantu pemasangan berupa scaffolding atau steger bambu",m2,750000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-115,Pasang Sunda Plafond,Pasang Plafond Sunda Plafond ,m2,330000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-116,Pasang Gyptile 60x60,Pasang Gyptile Jayaboard menggunakan ukuran 9mm dengan ukuran 60x60 cm,lbr,38000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-117,Pasang rangka plafond menggunakan hollow galvalum,"Pasang rangka plafond menggunakan hollow galvalum ukuran 35x35x0,2mm dengan modul 61x61cm",m2,121600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-118,Pengecatan cat tembok waterproof (eksterior),"cat dinding menggunakan aqua proof, 3 kali laburan,untuk dinding bata dak beton lama yang rusak di amplas terlebih dahulu, warna sesuai permintaan user",m2,41000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-119,Pengecatan Ebbro/texture,Pengecatan kolom menggunakan cat Ebbro dengan bahan dasar Dulux Weathersield Pro + powder calcium,m2,318500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-120,Pasangan wall treatment,Wall Treatment rangka Multipleks t. 9mm dan Multipleks t. 18 mm lapis HPL  Taco/Violam ,m2,671900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-121,Pasang penutup dinding ,Penutup dinding menggunakan multipkes t.9 mm lapis softboard 12mm,m2,265100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-122,Pasang penutup plafond Triplek 4 mm,"Pekerjaan Pasang penutup plafond dengan Triplek tebal 4 mm , ",m2,68500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-123,Pasang Ram Kawat,Pasang ram kawat anyam ,m2,36000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-124,Pasang Plint ,Pasang plint vinyl Tajima lebar 10 cm berikut lem dan assesoris,m',83200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-125,Pasang rangka plafond besi hollow,"Pasang rangka plafond menggunakan besi hollow ukuran 35x35x0,8mm dengan modul 61x61cm",m2,118100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-126,Pasang Railing Hollow 35x35,Pasang railing menggunakan Hollow Galvanis 35x35x1.1mm ,m',40000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-127,Pasang Railing Hollow 20x20,Pasang railing menggunakan Hollow Galvanis 20x20x1.1mm ,m',23000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-128,Pasang penutup plafond GRC 4mm,"Pekerjaan Pasang penutup plafond dengan GRC tebal 4 mm, Nusaboard/starboard.",m2,42500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-129,Pasang batu Koral untuk lantai/taman,Pasang batu Koral dengan ketebalan 10cm termasuk lapisan pasir 5cm,m2,285400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-130,Pasang Batu Bombai 20x30cm (Border) untuk lantai/taman,Pemasangan Batu Bombai uk 20x30cm dengan ketebalan 3-5cm,m',211300,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-131,Pasang penutup plafond multipleks 6mm,Pasang penutup plafond multipleks tebal 6 mm ex maranti 1 muka,m2,43700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-132,"Pasang Rangka Pintu Besi range Uk. Lebar sd. 60-120cm, tinggi 100-280cm","Pekerjaan pintu tralis dengan rangka utama hollow 40.40.1,2 mm, 40x20x1,2mm, pemasangan menggunakan sistem pengelasan dan pemasangan pintu di las,berikut asesoris",unit,1004100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-133,Pemasangan List Karpet alumunium,Pemasangan list karpet menggunakan bahan alumunium ,m1,15000,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-134,Pemasangan Lantai Granit Tile 60X60,"Pasang granit ukuran 60x60cm granito, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, pengisi nat menggunakan semen instan lemkra FS nat atau nat resin",m2,395900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-135,Pemasangan Roller Blind,Pasang Roller blind menggunakan Onna tipe blackout berikut dengan aksesorisnya.,m2,580600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-136,Bongkar pasang bracket TV,"Bongkaran dilakukan dengan hati-hati karena akan dipasang kembali, pekerjaan termasuk bongkar pasang bracket, instalasi, dan wiring duct antena",unit,276100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-137,Pasang bracket Hanger projector ,bahan menggunakan pipa 2inch berikut plat dan asesoris plat besi,unit,1864500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-138,Pasang underlayer karpet,underlayer karpet menggunakan foam putih tebal 2mm,m2,26500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-139,Pasang plin dinding vinyl t=40cm,Pasang plin Vinyl menggunakan tajima/forbo/armstrong,m1,339700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-140,"Pasang kaca polos tempered, tebal 12 mm","Pasang kaca Polos ukuran 12 mm menggunakan Asahimas, berikut dengan aksesoris.",m2,1195300,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-141,pasang list plafond kayu (profil),Pasang list plafond menggunakan kayu meranti bentuk sesuai dengan eksisting ukuran range 3-7cm,m1,21600,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-142,Pekerjaan cat dinding/plafond,"cat dinding/plafond menggunakan cat penutup Dulux Easyclean minimal 3 kali laburan, cat dasar 1 kali laburan, untuk dinding bata/plafond dak beton lama yang rusak di amplas terlebih dahulu",m2,39100,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-143,Pekerjaan pasangan lantai olahraga,"Pelapisan ""Flexy Rubber Cushion ""lap.olah raga,termasuk line game olahraga",m2,316400,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-144,Pasang lantai tegel uk. 20x20 cm,"Pasang tegel kunci polos warna abu uk. 20x20 cm, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,257500,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-145,Pasang Kaca Patri,"Pasang kaca patri tebal 3 mm dilakukan secara hati-hati, bila ada kerusakan menjadi tanggung jawab pelaksana.",m2,3017700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-146,Pasang baru lisplank,"Pasang Baru Lisplank menggunakan papan GRC Jayaboard tebal 9mm, lebar 30 cm",m1,48900,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-147,Pasang lantai tegel uk. 30x30 cm,"Pasang tegel kunci tekstur kulit badak uk. 30x30 cm, spesi menggunakan PC 3 roda, dan pasir Pasang cimalaka dengan campuran 1PC : 3PS, untuk nat menggunakan lemkra fs nat.",m2,270200,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AD-148,Pek. Pembuatan dinding teralis hollow,"Menggunakan besi hollow 40x40x1,2 dan 40x60x1,2mm, termasuk pengelasan untuk bagian kolom sudah termasuk dynabolt 8mm dan plat strip",m2,321700,Cirebon,Arsitektural,"Dinding, Lantai, dan Penutup Langit-Langit"
AP-001,Pasang kusen alumunium 3" natural Alexindo,"Pasang kusen alumunium ukuran 3"" menggunakan Alexindo natural, termasuk aksesoris pemasangan",m1,79100,Cirebon,Arsitektural,Pintu dan Jendela
AP-002,Pasang kusen alumunium 3" warna Alexindo,Pasang kusen alumunium ukuran 3" menggunakan Alexindo warna termasuk aksesoris pemasangan,m1,104500,Cirebon,Arsitektural,Pintu dan Jendela
AP-003,Pasang kusen alumunium 4" natural Alexindo,Pasang kusen alumunium ukuran 4" menggunakan Alexindo natural termasuk aksesoris pemasangan.,m1,115700,Cirebon,Arsitektural,Pintu dan Jendela
AP-004,Pasang kusen alumunium 4" warna Alexindo,Pasang kusen alumunium ukuran 4" menggunakan Alexindo warna termasuk aksesoris pemasangan.,m1,129000,Cirebon,Arsitektural,Pintu dan Jendela
AP-005,Pasang kusen alumunium 3" natural YKK,Pasang kusen alumunium ukuran 3" menggunakan YKK natural termasuk aksesoris pemasangan.,m1,136200,Cirebon,Arsitektural,Pintu dan Jendela
AP-006,Pasang kusen alumunium 3" warna YKK,Pasang kusen alumunium ukuran 3" menggunakan YKK warna termasuk aksesoris pemasangan.,m1,161600,Cirebon,Arsitektural,Pintu dan Jendela
AP-007,Pasang kusen alumunium 4" natural YKK,Pasang kusen alumunium ukuran 4" menggunakan YKK natural termasuk aksesoris pemasangan.,m1,104900,Cirebon,Arsitektural,Pintu dan Jendela
AP-008,Pasang kusen alumunium 4" warna YKK,Pasang kusen alumunium ukuran 4" menggunakan YKK warna termasuk aksesoris pemasangan.,m1,194000,Cirebon,Arsitektural,Pintu dan Jendela
AP-009,Pasang Kusen pintu dan/jendela 6/12,Pekerjaan Pasang baru kusen pintu menggunakan kayu kamper samarinda 6/12 tanpa finishing,m1,91005.84,Cirebon,Arsitektural,Pintu dan Jendela
AP-010,Pasang Kusen pintu dan/jendela 8/15,Pekerjaan Pasang baru kusen pintu menggunakan kayu kamper samarinda 8/15 tanpa finishing,m1,151676.4,Cirebon,Arsitektural,Pintu dan Jendela
AP-011,Pasang Handle+kunci Cylinder untuk pintu kayu/panel,"Pasang handle kunci dan Cylinder menggunakan Dekkson, berikut dengan aksesorisnya.",set,711600,Cirebon,Arsitektural,Pintu dan Jendela
AP-012,Pasang Handle+kunci type km/wc,Pasang handle kunci dan Cylinder tipe KM/WC menggunakan Dekkson standard berikut dengan aksesorisnya.,set,447300,Cirebon,Arsitektural,Pintu dan Jendela
AP-013,Pasang engsel pintu 4",Pasang Engsel pintu menggunakan Dekkson berikut dengan aksesorisnya. ,bh,85900,Cirebon,Arsitektural,Pintu dan Jendela
AP-014,Pasang engsel pintu 3",Pasang Engsel pintu menggunakan Dekkson berikut dengan aksesorisnya. ,bh,68500,Cirebon,Arsitektural,Pintu dan Jendela
AP-015,Pasang engsel jendela 4","Pasang Engsel jendela menggunakan Dekkson, berikut dengan aksesorisnya.",bh,85900,Cirebon,Arsitektural,Pintu dan Jendela
AP-016,Pasang engsel jendela 3","Pasang Engsel jendela menggunakan Dekkson, berikut dengan aksesorisnya.",bh,68500,Cirebon,Arsitektural,Pintu dan Jendela
AP-017,Pasang engsel casement jendela,"Pasang Casement menggunakan Dekkson, berikut dengan aksesorisnya.",set,66400,Cirebon,Arsitektural,Pintu dan Jendela
AP-018,Pasang hak angin,"Pasang hakangin menggunakan Dekkson, berikut dengan aksesorinya.",bh,65600,Cirebon,Arsitektural,Pintu dan Jendela
AP-019,Pasang Slot jendela,"Pasang Slot pintu dan jendela menggunakan Dekkson, berikut dengan aksesorisnya.",bh,44300,Cirebon,Arsitektural,Pintu dan Jendela
AP-020,Pasang slot pintu,"Pasang Slot pintu dan jendela menggunakan Dekkson, berikut dengan aksesorisnya.",bh,229300,Cirebon,Arsitektural,Pintu dan Jendela
AP-021,Pasang rambuncis ,"Pasang rambuncis menggunakan Dekkson, berikut dengan aksesorisnya.",bh,64700,Cirebon,Arsitektural,Pintu dan Jendela
AP-022,Pasang Pivot jendela ,Pivot jendela menggunakan dekkson (2 buah) /set,set,185800,Cirebon,Arsitektural,Pintu dan Jendela
AP-023,Pasang handle pintu geser (tanam),"Pasang Handle tanam lengkap termasuk kunci menggunakan Dekkson, berikut dengan aksesorisnya.",set,711600,Cirebon,Arsitektural,Pintu dan Jendela
AP-024,Pasang Rel pintu Geser max kapasitas 100kg,Rel pintu geser Dekkson seuaikan dengan ukuran pintu disesuaikan dengan jenis pintu dan beratnya,set,518200,Cirebon,Arsitektural,Pintu dan Jendela
AP-025,Pasang kunci tanam,Pasang kunci tanam menggunakan dekkson,set,386900,Cirebon,Arsitektural,Pintu dan Jendela
AP-026,Pasang Door closer,Pasang Door Closer beserta asesorisnya dekkson standard,set,311500,Cirebon,Arsitektural,Pintu dan Jendela
AP-027,Pasang kaca polos 5 mm,"Pasang kaca Polos ukuran 5mm menggunakan Asahimas, berikut dengan aksesoris.",m2,94500,Cirebon,Arsitektural,Pintu dan Jendela
AP-028,Pasang kaca Ryben 5 mm,"Pasang kaca Ryben ukuran 5mm menggunakan Asahimas, berikut dengan aksesoris.",m2,233000,Cirebon,Arsitektural,Pintu dan Jendela
